(1.50005, -1.754855989499875)
(1.25005, -2.2280766163748753)
(1.12505, -2.297101773562375)
(1.06245, -2.294822938093875)
(1.0937, -2.298881180047)
(1.109425, -2.298732670896359)
(1.1016125, -2.2989921953384984)
(1.09760625, -2.2989828235990935)
(1.099559375, -2.2989994176343758)
(1.1006359375, -2.2989987864933044)
(1.10014765625, -2.2989999345896766)
(1.099803515625, -2.2989998841892567)
(1.0999255859375, -2.298999983388054)
(1.10008662109375, -2.298999977489709)
(1.100006103515625, -2.2989999998882413)
