(1.618033988749895, -1.3549031657123667)
(1.381966011250105, -2.038067845285867)
(1.2360679774997898, -2.2409372866761843)
(1.1458980337503155, -2.292583421341576)
(1.0557280900008412, -2.2932067669878844)
(1.1114561800016824, -2.298604764263729)
(1.0770143262530494, -2.2974271206855916)
(1.0901699437494743, -2.298711059860728)
(1.1033255612458992, -2.2989667851486284)
(1.0951949424901157, -2.2989308452089237)
(1.0983005625052575, -2.2989913406447293)
(1.1014061825203996, -2.298994065171644)
(1.0994868037949, -2.2989992100241263)
(1.1006730450845421, -2.2989986407260603)
(1.1002199412307574, -2.298999854866926)
(1.0997668373769725, -2.2989998369182496)
(1.0999399076486847, -2.298999989166945)
(1.100112977920397, -2.298999961706527)
(1.1000468709590452, -2.298999993409237)
(1.099980763997693, -2.298999998889936)
(1.1000138174783691, -2.2989999994272297)
